stars_list,avg_rating,num_movies,rating_class,relative_freq,weighted_score
Sean Connery,0.6195238095238096,63,1,0.013463523468203644,0.008340973348634735
Robin Williams,0.6338095238095238,63,1,0.013463523468203644,0.0085333093981805
Bruce Davison,0.5123809523809524,63,0,0.013463523468203644,0.006898452977041486
Adolf Hitler,0.6447619047619048,63,1,0.013463523468203644,0.008680767036165587
Dan Aykroyd,0.6138709677419355,62,1,0.013249816746486127,0.008133677828568742
Danny Glover,0.5820967741935483,62,0,0.013249816746486127,0.00771267558678523
Michael Douglas,0.6330645161290323,62,1,0.013249816746486127,0.008387988827412589
James Caan,0.6027419354838709,62,0,0.013249816746486127,0.007986220190583653
Danny DeVito,0.6135483870967742,62,1,0.013249816746486127,0.008129403694134391
Russell Crowe,0.6409677419354839,62,1,0.013249816746486127,0.008492705121054173
Buster Crabbe,0.533225806451613,62,0,0.013249816746486127,0.007065144219981152
Tex Ritter,0.5233870967741936,62,0,0.013249816746486127,0.006934783119733466
Thomas Jane,0.5537096774193548,62,0,0.013249816746486127,0.0073365517565624
Rosario Dawson,0.61,62,0,0.013249816746486127,0.008082388215356538
Ajay Devgn,0.5569354838709678,62,0,0.013249816746486127,0.007379293100905904
Toni Collette,0.6174193548387097,62,1,0.013249816746486127,0.008180693307346597
Edward Asner,0.6418032786885246,61,1,0.013036110024768607,0.008366618155240835
Lacey Chabert,0.5781967213114755,61,0,0.013036110024768607,0.0075374360749768665
Ralph Fiennes,0.6529508196721311,61,1,0.013036110024768607,0.008511938726008748
Whoopi Goldberg,0.5826229508196721,61,0,0.013036110024768607,0.007595136889840594
Kurt Russell,0.6363934426229508,61,1,0.013036110024768607,0.008296094937074054
Kiefer Sutherland,0.6268852459016394,61,1,0.013036110024768607,0.008172145038477895
Jack Palance,0.529016393442623,61,0,0.013036110024768607,0.0068963159098243115
Peter Cushing,0.5688524590163935,61,0,0.013036110024768607,0.00741562324359788
Ethan Hawke,0.6231147540983606,61,1,0.013036110024768607,0.008122992492482864
William Holden,0.6465573770491803,61,1,0.013036110024768607,0.008428593104538916
William Hanna,0.7224590163934427,61,1,0.013036110024768607,0.009418055226091026
Jeremy Irons,0.6550819672131147,61,1,0.013036110024768607,0.008539720599832025
Meryl Streep,0.6418333333333333,60,1,0.01282240330305109,0.008229845853341624
Tom Berenger,0.5465,60,0,0.01282240330305109,0.007007443405117421
Tim Roth,0.6078333333333333,60,0,0.01282240330305109,0.007793884141037888
Andy Devine,0.5820000000000001,60,0,0.01282240330305109,0.007462638722375735
Ed Harris,0.6493333333333333,60,1,0.01282240330305109,0.008326013878114508
Billy Bletcher,0.6593333333333333,60,1,0.01282240330305109,0.008454237911145019
Matthew McConaughey,0.611,60,0,0.01282240330305109,0.007834488418164216
Helena Bonham Carter,0.6575000000000001,60,1,0.01282240330305109,0.008430730171756093
Al Pacino,0.6633333333333333,60,1,0.01282240330305109,0.008505527524357223
Will Ferrell,0.6008333333333333,60,0,0.01282240330305109,0.007704127317916531
Peter Coyote,0.6566666666666666,60,1,0.01282240330305109,0.008420044835670215
Tom Mix,0.5843333333333334,60,0,0.01282240330305109,0.007492557663416188
Dennis Hopper,0.5830508474576271,59,0,0.012608696581333572,0.007351511227082626
Jennifer Aniston,0.6113559322033898,59,0,0.012608696581333572,0.00770840145235088
Sigourney Weaver,0.6364406779661016,59,1,0.012608696581333572,0.008024687400492806
Bill Nighy,0.6544067796610169,59,1,0.012608696581333572,0.008251216525513376
Louis Gossett Jr.,0.5627118644067797,59,0,0.012608696581333572,0.007095063161021604
Donald Pleasence,0.5432203389830508,59,0,0.012608696581333572,0.006849300431046456
Eddie Murphy,0.5649152542372881,59,0,0.012608696581333572,0.00712284503484488
Mamoru Miyano,0.6905084745762712,59,1,0.012608696581333572,0.00870641184277169
Salman Khan,0.5145762711864407,59,0,0.012608696581333572,0.006488136071343852
Max von Sydow,0.6201694915254237,59,1,0.012608696581333572,0.007819528947643989
Walter Brennan,0.6305084745762712,59,1,0.012608696581333572,0.007949890047891676
Sanjay Dutt,0.5267796610169492,59,0,0.012608696581333572,0.0066420049109804655
Glenn Close,0.6312068965517241,58,1,0.012394989859616056,0.007823803082078341
William Shatner,0.5939655172413794,58,0,0.012394989859616056,0.007362196563168503
Selena Gomez,0.638448275862069,58,1,0.012394989859616056,0.007913559905199699
Paul Newman,0.6418965517241378,58,1,0.012394989859616056,0.007956301249543201
Richard Widmark,0.6179310344827587,58,1,0.012394989859616056,0.007659248906355853
Mickey Rourke,0.5287931034482759,58,0,0.012394989859616056,0.006554385155076284
Jamie Foxx,0.5903448275862069,58,0,0.012394989859616056,0.007317318151607823
Owen Wilson,0.5759649122807017,57,0,0.012181283137898537,0.007015991673986121
